"","EXPID","REFID","RYEAR","RTYPE","RJRNL","RAUTHOR","RTITLE","RPUBLISHER","RPUBDATE","RLANGUAGE","RCITATION","RYAK94","RNOTES"
"47","CHOB84301","01","1984",2,"AAJ","Badham, Michael K.",NA,NA,"1985",NA,"59:277 (1985)",NA,NA
"48","GAUR84301","01","1984",2,"AAJ",NA,NA,NA,"1985",NA,"59:277 (1985)",NA,NA
"49","KHAT84401","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:277 (1985)",NA,NA
"50","LANG84101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:277-278 (1985)",NA,NA
"51","GAN384302","01","1984",2,"AAJ","Kekus, Nikola",NA,NA,"1985",NA,"59:278 (1985)",NA,NA
"52","GAN384301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:278 (1985)",NA,NA
"53","MANA84103","01","1984",2,"AAJ",NA,NA,NA,"1985",NA,"59:279 (1985)",NA,NA
"54","MANA84102","01","1984",2,"AAJ","Loretan, Erhard",NA,NA,"1985",NA,"59:279 (1985)",NA,NA
"55","MANA84101","01","1984",2,"AAJ",NA,NA,NA,"1985",NA,"59:279 (1985)",NA,NA
"56","MANA84302","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:280 (1985)",NA,NA
"57","NEMJ84401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:280 (1985)",NA,NA
"58","KGUR84101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:280-281 (1985)",NA,NA
"59","KGUR84102","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:281 (1985)",NA,NA
"60","KGUR84301","01","1984",2,"AAJ","Bae Seung-Youl",NA,NA,"1985",NA,"59:281 (1985)",NA,NA
"61","KGUR84401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:281 (1985)",NA,NA
"62","ANN284101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:281-282 (1985)",NA,NA
"63","ANN284101","02","1984",3,"MM",NA,NA,NA,"1984",NA,"99:9 (Sep 1984)",NA,NA
"64","ANN284301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:282 (1985)",NA,NA
"65","ANN284301","02","1984",3,"MM",NA,NA,NA,"1985",NA,"102:14 (Mar 1985)",NA,NA
"66","ANN484302","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:282 (1985)",NA,NA
"67","ANN484302","02","1984",3,"MM",NA,NA,NA,"1985",NA,"102:14 (Mar 1985)",NA,NA
"68","ANN484301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:282 (1985)",NA,NA
"69","ANN384301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:282 (1985)",NA,NA
"70","GANG84401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:283 (1985)",NA,NA
"71","GLAC84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:283 (1985)",NA,NA
"72","TARS84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:283 (1985)",NA,NA
"73","ANN184101","01","1984",2,"AAJ","Sigayret, Henri",NA,NA,"1985",NA,"59:283-285 (1985)",NA,"11"
"74","ANNM84301","01","1984",2,"AAJ","Lucas, Enric",NA,NA,"1985",NA,"59:285 (1985)",NA,NA
"75","ANN184302","01","1984",2,"AAJ","Loretan, Erhard",NA,NA,"1985",NA,"59:285-288 (1985)",NA,NA
"76","ANN184301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:288 (1985)",NA,NA
"77","ANN184402","01","1984",2,"AAJ","Muller, Bernard",NA,NA,"1985",NA,"59:288-289 (1985)",NA,NA
"78","ANN184401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:289 (1985)",NA,NA
"79","FANG84301","01","1984",2,"AAJ","Krause, Wesley",NA,NA,"1985",NA,"59:289 (1985)",NA,NA
"80","ANNS84301","01","1984",2,"AAJ","Udall, Mark",NA,NA,"1985",NA,"59:290 (1985)",NA,NA
"81","ANNS84401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:290 (1985)",NA,NA
"82","ANN184303","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:291 (1985)",NA,NA
"83","DHA184101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:291 (1985)",NA,NA
"84","DHA184302","01","1984",2,"AAJ","Beghin, Pierre",NA,NA,"1985",NA,"59:291-293 (1985)",NA,NA
"85","TILI84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:291 (1985)",NA,NA
"86","TILI84401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:291 (1985)",NA,NA
"87","DHA184301","01","1984",2,"AAJ","Novak, Jiri",NA,NA,"1985",NA,"59:293 (1985)",NA,"12"
"88","DHA184402","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:293 (1985)",NA,NA
"89","DHA184401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:293 (1985)",NA,NA
"90","DHA284301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:294 (1985)",NA,NA
"91","CHRW84101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:294 (1985)",NA,NA
"92","PUTH84101","01","1984",2,"AAJ","Cho Chung-Sool",NA,NA,"1985",NA,"59:294 (1985)",NA,NA
"93","PUTH84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:294 (1985)",NA,NA
"94","CHRW84102","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:294 (1985)",NA,NA
"95","EVER84101","01","1984",2,"AAJ","Goodman, Donald J.",NA,NA,"1985",NA,"59:336-337 (1985)",NA,NA
"96","EVER84105","01","1984",2,"AAJ","Bonington, Chris",NA,NA,"1985",NA,"59:337-338 (1985)",NA,NA
"97","EVER84104","01","1984",2,"AAJ","Bonington, Chris",NA,NA,"1985",NA,"59:337-338 (1985)",NA,NA
"98","EVER84301","01","1984",2,"AAJ","Bartram, Geoffrey",NA,NA,"1985",NA,"59:338 (1985)",NA,NA
"99","LHOT84301","01","1984",2,"AAJ","Salisbury, Richard",NA,NA,"1985",NA,"59:261-262 (1985)",NA,NA
"100","MAKA84103","02","1984",2,"AJ","Scott, Douglas","Multi Peak - Alpine Style",NA,"1985",NA,"90:88-96 (1985)",NA,NA
"101","CHOY84101","01","1984",2,"AAJ","Komarkova, Vera","Cho Oyu",NA,"1985",NA,"59:89-93 (1985)",NA,"13"
"102","GAUR84101","01","1984",2,"AAJ","Culbreth, Wyman","Gaurishankar's West Face",NA,"1985",NA,"59:81-83 (1985)",NA,"14"
"103","HIME84301","01","1984",2,"AAJ","Yager, Mike","Himalchuli",NA,"1985",NA,"59:84-88 (1985)",NA,"15"
"104","EVER84303","01","1984",2,"AJ","Bonington, Chris",NA,NA,"1985",NA,"90:214-215 (1985)",NA,NA
"105","EVER84104","02","1984",2,"AJ","Villar, Richard","Everest North Face - A Doctor's View",NA,"1985",NA,"90:110-112 (1985)",NA,NA
"106","GAN384302","02","1984",2,"AJ","Kekus, Nick","Annual Leave - Ganesh II South Face",NA,"1985",NA,"90:71-73 (1985)",NA,NA
"107","EVER84105","02","1984",2,"AJ","Bonington, Chris",NA,NA,"1985",NA,"90:214 (1985)",NA,NA
"108","EVER84104","03","1984",2,"AJ","Bonington, Chris",NA,NA,"1985",NA,"90:214 (1985)",NA,NA
"109","EVER84101","02","1984",2,"AJ","Bonington, Chris",NA,NA,"1985",NA,"90:214 (1985)",NA,NA
"110","EVER84301","02","1984",2,"AJ","Bonington, Chris",NA,NA,"1985",NA,"90:214-215 (1985)",NA,NA
"111","KANG85101","01","1985",2,"AAJ","Duenwald, Jeff",NA,NA,"1986",NA,"60:214 (1986)",NA,NA
"112","KANC85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:215 (1986)",NA,NA
"113","YALU85101","01","1985",2,"AAJ","Skarja, Tone",NA,NA,"1986",NA,"60:213-214 (1986)",NA,"16"
"114","KANG85401","01","1985",2,"AAJ","Nyka, Jozef",NA,NA,"1986",NA,"60:215 (1986)",NA,NA
"115","KIRA85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:217 (1986)",NA,NA
"116","OHMI85101","01","1985",2,"AAJ","Meier, Ruedi",NA,NA,"1986",NA,"60:217 (1986)",NA,"17"
"117","MAKA85101","01","1985",2,"AAJ","Barrard, Liliane and Maurice",NA,NA,"1986",NA,"60:217-218 (1986)",NA,NA
"118","MAKA85301","01","1985",2,"AAJ","Martini, Sergio",NA,NA,"1986",NA,"60:218 (1986)",NA,NA
